CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,1511,No,Yes,No,Yes,No,No,26,?,90,1,0,0,12.833333,3,3,High
?,1713,No,Yes,Yes,Yes,Yes,No,30,2,96,0.989583,0.010416,0,15.760416,9,3,High
?,31,No,No,No,No,No,No,16,2.93,7,1,0,0,26.285714,0,0,?
?,2390,No,Yes,Yes,Yes,Yes,No,28,3.84,126,0.992063,0,0,14.396825,2,2,High
?,?,?,?,?,?,?,?,?,2.96,4,1,0,0,15.75,0,0,?
?,38,No,No,No,No,No,?,?,2.69,5,1,0,0,11.6,0,0,?
?,194,No,No,No,Yes,Yes,No,25,3.04,15,1,0,0,8.2,1,0,High
?,51,No,No,No,No,No,?,?,3.04,6,0.833333,0,0,22.5,0,0,Low
?,65,No,No,No,No,No,No,15,2.43,17,1,0,0,12.588235,1,0,?
?,651,No,No,No,Yes,Yes,No,26,3.39,41,0.975609,0,0,16.731707,4,2,High
?,1195,No,No,Yes,Yes,Yes,No,22,3.64,71,1,0,0,15.183098,5,1,High
?,962,No,No,Yes,Yes,Yes,No,28,3.44,63,0.984126,0,0,16.063492,1,2,High
?,825,No,No,Yes,Yes,Yes,No,29,3.26,40,0.975,0,0,9.025,3,2,High
?,67,No,No,No,Yes,No,No,9,3.12,15,1,0,0,21.733333,0,0,Low
?,1501,No,No,Yes,Yes,Yes,No,29,3.46,98,1,0,0,15.561224,0,1,High
?,1533,No,Yes,Yes,Yes,No,No,30,4.04,95,0.989473,0,0,16.989473,4,0,High
?,39,No,No,No,No,No,No,15,2.77,11,1,0,0,15.818181,0,0,?
?,1248,No,No,Yes,Yes,Yes,No,30,3.4,84,1,0,0,14.761904,1,1,High
?,1454,No,No,Yes,Yes,Yes,No,30,3.35,94,0.978723,0,0,13.87234,1,5,High
?,260,No,No,Yes,Yes,Yes,No,20,2.95,24,0.958333,0.041666,0,16.708333,1,0,High
?,15,No,No,No,No,No,No,17,2.29,5,1,0,0,10.4,1,0,?
?,16,No,No,No,No,No,No,3,3.04,2,1,0,0,18,0,0,Low
?,546,No,No,Yes,Yes,Yes,No,23,3.48,48,0.9375,0.083333,0,17.708333,2,1,High
?,29,No,No,No,No,No,?,?,2.48,5,1,0,0,20,0,0,?
D,1941,No,No,Yes,Yes,Yes,No,8,3.31,186,0.98387,0.010752,0,13.376344,2,5,Low
?,1040,No,No,Yes,Yes,Yes,No,25,3.13,62,0.935483,0.016129,0,12.016129,1,3,High
?,1099,No,No,Yes,Yes,Yes,No,28,3.56,68,1,0.014705,0.029411,9.17647,2,2,High
?,1245,No,No,Yes,Yes,Yes,No,27,3.75,81,0.987654,0,0.012345,13.444444,0,3,High
?,22,No,No,No,No,No,No,11,3.1,6,1,0,0,16.666666,0,0,?
?,?,?,?,?,?,?,?,?,1.5,1,1,0,0,23,0,0,?
?,?,?,?,?,?,?,?,?,2.6,1,1,0,0,51,0,0,?
?,?,?,?,?,?,?,?,?,2.33,1,1,0,0,33,0,0,?
D,81,No,No,No,Yes,No,No,5,3.08,14,1,0,0,22.142857,0,0,Low
?,195,No,No,No,Yes,No,No,20,3.38,14,1,0,0,16,0,1,High
?,96,No,No,No,Yes,No,No,19,3.28,10,1,0,0,15.3,0,0,High
?,251,No,No,No,Yes,Yes,No,24,3.16,18,0.888888,0.055555,0,15.888888,2,0,High
?,276,No,No,No,Yes,Yes,No,22,3.33,18,1,0,0,20.888888,0,0,High
?,20,No,No,No,No,No,No,15,2.33,22,0.954545,0.045454,0,19.40909,1,1,?
?,31,No,No,No,No,No,No,20,1.71,13,0.923076,0.076923,0,15.615384,0,1,?
?,270,No,No,Yes,No,Yes,No,22,2.31,50,0.92,0.04,0,17.48,2,4,?
?,564,No,No,Yes,Yes,Yes,No,29,2.14,124,0.717741,0.145161,0.008064,13.16129,8,7,?
?,282,No,No,Yes,Yes,Yes,No,7,2.39,83,0.831325,0.084337,0,11.891566,6,3,?
?,33,No,No,No,No,No,No,11,2.01,7,1,0,0,12.857142,0,0,?
?,2201,Yes,Yes,Yes,Yes,Yes,No,32,2.4,120,0.966666,0,0,11.75,3,4,Low
?,1553,No,No,Yes,Yes,Yes,No,32,1.78,89,1,0,0,16.696629,0,2,Low
?,24,No,No,No,No,No,No,13,1.88,10,1,0,0,22.2,0,0,?
?,797,No,No,Yes,Yes,Yes,No,26,2.05,58,1,0,0,13.344827,1,5,Low
?,?,?,?,?,?,?,?,?,1.97,7,1,0,0,20.285714,0,0,?
?,40,No,No,No,No,No,?,?,2.22,4,1,0,0,11.75,0,1,?
?,1633,Yes,No,Yes,Yes,Yes,No,31,2.67,90,0.966666,0.022222,0,9.322222,8,7,Low
?,50,No,No,No,No,No,No,15,2.11,6,0.833333,0.166666,0,5.166666,1,1,?
?,67,No,No,Yes,No,Yes,No,17,2.03,12,1,0,0,12.416666,0,1,?
?,2105,Yes,Yes,Yes,Yes,Yes,No,29,2.92,115,0.913043,0.043478,0,6.452173,18,19,High
?,323,No,No,Yes,Yes,Yes,No,30,3.08,23,1,0,0,7.47826,1,2,High
?,33,No,No,No,No,No,?,?,2.72,8,1,0,0,23.375,0,0,Low
?,2046,Yes,Yes,Yes,Yes,Yes,No,29,2.76,123,0.991869,0.00813,0,12.06504,3,9,High
?,174,No,No,Yes,No,Yes,No,24,2.15,31,1,0,0,12.709677,1,0,?
?,?,?,?,?,?,?,?,?,1.67,1,1,0,0,17,0,0,?
?,11,No,No,No,No,No,No,19,2.5,1,1,0,0,11,0,0,?
?,2828,Yes,Yes,Yes,Yes,Yes,No,30,3.19,151,0.993377,0.019867,0,12.02649,3,5,High
?,2309,No,No,Yes,Yes,Yes,No,27,2.54,139,0.978417,0.014388,0,11.71223,5,5,High
?,1575,No,No,Yes,Yes,Yes,No,30,2.92,87,1,0,0,13.747126,2,1,High
?,36,No,No,No,No,No,?,?,2.75,11,1,0,0,13.363636,0,0,?
?,95,No,No,Yes,No,Yes,No,27,2.43,12,0.916666,0,0,14.416666,1,0,?
?,1482,No,No,Yes,Yes,Yes,No,32,3.16,84,0.964285,0.083333,0,13.369047,1,3,High
?,2228,No,No,Yes,Yes,Yes,No,32,2.89,117,0.94017,0.051282,0,11.931623,4,1,High
?,216,No,No,Yes,Yes,Yes,No,11,2.61,13,1,0,0,24.076923,0,0,Low
?,117,No,No,Yes,No,Yes,No,30,1.79,18,1,0,0,16.333333,0,0,?
?,1894,No,No,Yes,No,Yes,No,35,1.92,104,0.923076,0.048076,0,11.221153,5,3,Low
?,271,No,No,Yes,Yes,Yes,No,21,2.55,22,0.90909,0.090909,0,12.727272,2,2,Low
?,1010,No,No,Yes,Yes,Yes,No,33,2.24,49,0.979591,0.061224,0,9.163265,2,4,Low
Y,151,No,No,Yes,Yes,Yes,No,20,2.59,7,1,0,0,8,0,0,High
?,105,No,No,Yes,No,Yes,No,21,2.07,21,0.95238,0,0,13.142857,0,1,?
?,250,No,No,Yes,Yes,Yes,No,31,2.35,22,1,0.045454,0,11.363636,1,1,Low
