CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,672,No,No,Yes,Yes,Yes,No,32,3.09,42,0.97619,0,0,14.380952,0,2,Low
?,682,Yes,No,Yes,No,Yes,No,?,2.17,61,1,0,0,14.590163,0,0,Low
?,654,Yes,No,Yes,No,Yes,No,?,2.34,51,1,0,0,12.039215,0,1,Low
?,288,No,No,Yes,Yes,Yes,No,?,3.57,25,1,0,0,18.2,1,0,High
?,398,Yes,No,Yes,No,Yes,No,?,2.91,28,0.964285,0,0,13.892857,1,0,Low
?,852,Yes,No,Yes,No,Yes,No,?,2.89,53,0.962264,0,0,10.566037,1,4,High
?,326,No,No,Yes,No,Yes,No,?,2.23,28,1,0,0,15.678571,1,1,Low
?,262,No,No,Yes,Yes,Yes,No,?,3.8,22,1,0,0,18.272727,0,0,High
?,556,No,No,Yes,No,Yes,No,?,2.13,41,1,0,0,8.585365,0,0,Low
?,503,Yes,No,Yes,No,Yes,No,?,2.17,41,1,0,0,10.658536,0,0,High
?,553,No,No,Yes,No,Yes,No,?,2.2,45,1,0,0,11.844444,0,0,High
?,650,No,No,Yes,No,Yes,No,?,2.35,56,1,0,0,10.589285,1,0,Low
?,558,Yes,No,Yes,Yes,Yes,No,?,3.57,37,1,0,0,18.891891,0,0,High
?,316,Yes,No,Yes,Yes,Yes,No,?,3.65,23,1,0,0,19.652173,0,0,High
?,444,No,No,No,Yes,No,No,?,4.22,36,1,0,0,16.527777,1,0,High
?,452,Yes,No,Yes,Yes,Yes,No,?,2.66,41,1,0,0,17.02439,0,1,Low
?,402,Yes,No,Yes,Yes,Yes,No,?,3.4,30,1,0,0,20.366666,0,0,High
?,218,Yes,No,Yes,No,Yes,No,?,2.53,17,1,0,0,16.17647,0,0,High
?,489,Yes,No,Yes,No,Yes,No,?,1.99,41,1,0,0,13.121951,0,1,Low
?,728,No,No,Yes,Yes,Yes,No,27,2.75,42,0.97619,0,0,13.928571,0,3,Low
?,710,Yes,No,Yes,No,Yes,No,31,2.64,47,1,0,0,14.170212,1,1,High
?,180,No,No,No,Yes,No,No,?,4.13,16,1,0,0,21.5,0,0,High
?,768,Yes,No,Yes,Yes,Yes,No,32,3.77,44,0.977272,0.022727,0,16.340909,1,1,High
?,321,No,No,Yes,Yes,Yes,No,?,3.67,25,1,0,0,18.52,0,0,High
?,404,Yes,No,Yes,No,Yes,No,?,2.71,34,0.911764,0,0,17.794117,0,0,Low
?,636,No,No,Yes,No,Yes,No,?,2.01,54,1,0,0,13.388888,0,1,Low
?,504,Yes,Yes,Yes,No,Yes,No,?,2.08,40,1,0,0,14.3,0,0,High
?,394,Yes,No,Yes,No,Yes,No,?,2.07,34,1,0,0,12.941176,0,1,Low
?,889,Yes,No,Yes,Yes,Yes,No,30,3.42,52,0.980769,0.01923,0,16.538461,0,0,High
?,482,No,No,Yes,Yes,Yes,No,?,3.66,33,1,0,0,18.60606,1,1,High
?,412,Yes,No,Yes,No,Yes,No,?,2.61,40,1,0,0,14.8,0,0,Low
?,561,No,Yes,Yes,No,Yes,No,?,2.16,45,1,0,0,12.022222,0,1,Low
?,450,No,No,Yes,No,Yes,No,?,2.11,36,1,0,0,17.916666,0,0,Low
?,240,No,No,Yes,Yes,Yes,No,?,3.03,23,0.956521,0,0,19.913043,0,2,High
?,?,?,?,?,?,?,?,?,3.71,1,1,0,0,2,0,1,?
?,444,No,No,Yes,No,Yes,No,?,1.61,37,1,0,0,14.432432,0,0,High
?,269,No,Yes,Yes,No,Yes,No,?,2.58,22,1,0,0,14.045454,0,0,High
?,663,Yes,No,Yes,No,Yes,No,26,2.5,38,0.973684,0.026315,0,11.789473,0,3,Low
?,855,Yes,No,Yes,No,Yes,No,28,2.28,55,1,0,0,10.454545,0,4,Low
D,225,No,No,Yes,No,Yes,No,?,2.61,25,0.84,0,0,3.92,10,5,Low
D,122,No,No,Yes,No,Yes,No,?,2.05,12,0.833333,0,0,6.166666,2,1,Low
D,211,Yes,No,Yes,No,Yes,No,?,2.44,12,1,0,0,3.166666,0,3,Low
D,91,No,No,Yes,No,Yes,No,?,2.48,6,1,0,0,8.5,1,1,Low
D,248,Yes,No,No,No,Yes,No,17,?,23,0.173913,0,0,7.782608,4,3,Low
?,?,?,?,?,?,?,No,?,?,15,1,0,0,15.533333,0,0,?
D,211,No,No,No,Yes,No,No,?,4.25,18,0.777777,0.055555,0,8.555555,0,1,High
D,154,No,No,Yes,No,Yes,No,?,2.37,14,0.785714,0,0,6.785714,2,2,High
D,301,No,No,Yes,No,Yes,No,?,2.03,24,1,0,0,3.25,3,7,Low
Y,432,Yes,No,Yes,No,Yes,No,?,2.89,31,1,0,0,7.419354,3,5,Low
D,830,No,No,Yes,Yes,Yes,No,24,3.66,48,0.875,0.020833,0,5.625,11,5,High
D,114,No,No,Yes,No,Yes,No,?,2.39,8,0.25,0,0,7.25,1,0,High
D,?,?,?,?,?,?,No,?,?,2,1,0,0,4,0,0,?
?,?,?,?,?,?,?,No,?,?,12,1,0,0,8.583333,2,0,?
?,?,?,?,?,?,?,No,?,?,11,1,0,0,7.454545,2,0,?
?,?,?,?,?,?,?,No,?,?,12,1,0,0,14.333333,0,0,?
?,422,No,No,Yes,No,Yes,Yes,?,1.73,27,1,0,0,7.777777,1,0,Low
?,462,No,No,Yes,No,Yes,No,?,1.51,40,0.975,0,0,8.225,1,2,Low
D,108,No,No,Yes,No,Yes,No,?,2.28,8,1,0,0,8.125,0,0,High
